,样本个数,平均收益率,标准差,最大收益率,最小收益率
1min,715130,1.1880909234043067e-06,0.0008693158740320743,0.08722995569815062,-0.07299261560204062
5min,143026,5.980996621946003e-06,0.002456492619333976,0.08875341651061497,-0.07831001283050831
10min,71513,1.1961993243892006e-05,0.003437374117641726,0.08878711194848332,-0.06981999725365018
30min,23837,3.6180567110580206e-05,0.005883026409035144,0.08861871533133936,-0.06664535577552222
60min,11918,7.235044487192428e-05,0.00846844253326906,0.0900073502684604,-0.08945449953762719
120min,5958,0.00012793123841336895,0.011914403989829,0.09433850428112223,-0.09439809509685126
240min,2976,0.00024780266174405895,0.017115797752592234,0.09349610463184099,-0.0989248048519542
daily,5090,0.0002564511792347573,0.016259906316710898,0.09400787234693553,-0.0933424509294607
